student_id,exercise_id,is_correct
0,116,0
0,168,0
0,68,0
0,67,0
0,134,0
0,152,0
0,91,0
0,73,0
0,92,0
0,127,1
0,160,1
0,9,0
0,150,0
0,37,1
0,193,0
0,74,0
0,59,0
0,84,0
0,21,1
0,171,0
0,13,0
0,97,0
0,170,0
0,164,0
0,62,0
0,142,0
0,16,0
0,195,1
0,32,0
0,33,1
0,110,0
0,198,0
0,101,1
0,118,1
0,183,0
1,167,1
1,28,0
1,153,0
1,131,1
1,34,0
1,162,0
1,128,1
1,142,0
1,117,0
1,77,1
1,66,0
1,179,0
1,37,0
1,139,0
1,180,0
1,176,0
1,125,1
1,12,0
1,163,0
1,38,0
1,5,0
1,155,0
1,15,1
1,63,0
1,80,1
1,0,0
1,90,1
1,11,1
2,184,0
2,63,0
2,64,1
2,46,1
2,34,0
2,174,0
2,154,0
2,51,0
2,20,0
2,168,0
2,56,1
2,83,1
2,79,1
2,77,1
2,188,0
2,109,0
2,167,0
2,17,0
2,106,0
2,192,1
2,125,0
2,191,1
2,52,0
2,173,0
3,30,1
3,99,0
3,141,0
3,81,0
3,73,0
3,26,0
3,114,0
3,129,0
3,170,0
3,165,1
3,123,1
3,8,0
3,103,1
3,88,0
3,29,0
3,87,0
3,13,0
3,179,0
3,64,0
3,113,1
3,188,0
3,134,0
3,90,0
3,150,0
3,198,0
3,31,0
3,127,0
3,177,0
3,126,0
3,140,1
3,32,0
3,46,0
3,112,1
3,60,1
3,197,0
3,55,0
3,62,0
3,172,0
4,130,0
4,97,0
4,91,0
4,33,0
4,123,0
4,100,0
4,23,0
4,15,0
4,129,1
4,189,0
4,44,1
4,30,0
4,80,0
4,176,0
4,37,1
4,168,0
4,87,0
4,156,0
4,126,0
4,71,1
4,45,0
4,36,1
4,184,1
4,114,0
4,93,0
4,70,1
4,106,0
4,195,1
4,137,1
4,180,0
4,143,1
4,125,0
4,83,1
4,153,0
4,155,0
4,1,1
4,110,0
4,109,0
5,2,0
5,119,0
5,4,1
5,160,1
5,45,0
5,57,0
5,25,0
5,185,1
5,162,0
5,95,0
5,117,1
5,10,1
5,127,0
5,100,1
5,199,1
5,15,0
5,46,0
5,21,0
5,192,1
5,34,1
5,167,0
5,28,1
5,48,0
5,66,0
5,88,1
5,135,0
5,64,0
5,37,1
5,12,0
5,177,0
5,35,0
5,65,1
5,172,0
6,96,1
6,55,1
6,13,0
6,53,0
6,66,1
6,169,0
6,14,1
6,36,1
6,58,1
6,3,1
6,107,1
6,131,1
6,99,0
6,166,0
6,61,0
6,7,0
6,159,0
6,38,1
6,152,1
6,30,0
6,192,0
6,156,1
6,189,0
6,81,0
6,49,0
6,116,1
6,98,0
7,19,0
7,127,1
7,111,1
7,176,1
7,27,1
7,72,1
7,63,0
7,180,1
7,159,0
7,153,1
7,193,0
7,35,0
7,78,0
7,6,1
7,133,1
7,44,1
7,162,0
7,128,0
7,106,1
7,86,0
7,178,1
7,116,0
7,165,0
7,42,1
7,66,0
7,46,1
7,53,0
7,1,1
7,139,1
7,68,1
8,133,1
8,146,0
8,163,1
8,35,1
8,30,0
8,10,0
8,21,1
8,37,1
8,59,0
8,73,0
8,44,0
8,7,0
8,183,0
8,72,1
8,94,1
8,61,1
8,84,1
8,40,1
8,184,0
8,68,1
8,169,0
8,32,0
8,126,0
8,38,0
8,186,0
8,157,0
8,131,1
8,8,0
8,167,1
8,20,1
8,49,0
8,46,0
8,129,0
8,177,0
8,99,1
8,137,0
8,187,0
8,42,1
8,121,0
8,9,0
8,139,0
8,1,0
9,28,0
9,78,1
9,20,0
9,79,0
9,188,0
9,82,0
9,37,0
9,155,0
9,136,0
9,6,1
9,119,1
9,15,0
9,196,0
9,10,0
9,144,1
9,1,0
9,61,0
9,93,1
9,166,1
9,70,1
9,59,0
9,175,0
9,101,0
9,110,0
9,148,0
9,138,0
9,179,0
9,165,0
9,77,0
9,51,0
10,198,0
10,1,1
10,50,1
10,110,1
10,190,0
10,28,1
10,18,0
10,113,0
10,84,0
10,41,0
10,134,1
10,24,0
10,51,1
10,26,0
10,92,0
10,152,1
10,19,0
10,176,0
10,45,1
10,137,0
10,151,1
10,180,1
10,79,0
10,166,0
10,109,0
10,128,0
10,187,1
10,88,0
10,116,0
10,122,1
10,188,1
10,106,0
10,111,1
10,140,1
10,183,0
10,192,1
10,48,0
10,173,1
10,172,1
10,74,0
10,42,0
10,133,0
10,107,0
10,17,0
10,155,1
11,171,0
11,192,0
11,29,1
11,88,1
11,103,0
11,181,0
11,70,0
11,186,0
11,152,1
11,196,0
11,32,0
11,95,0
11,153,0
11,147,0
11,164,0
11,149,0
11,124,0
11,159,1
11,110,1
11,11,1
11,157,1
11,107,0
11,64,1
11,51,1
11,99,1
11,165,1
11,179,1
11,34,0
11,86,0
11,43,1
11,21,0
11,117,0
11,0,0
11,73,0
11,131,0
11,6,1
11,194,0
11,139,1
11,5,0
11,174,1
11,133,0
11,33,0
11,71,0
11,150,0
11,83,0
11,180,1
11,20,0
11,125,0
11,163,1
12,100,1
12,185,0
12,126,1
12,176,0
12,12,1
12,137,0
12,144,1
12,82,1
12,179,0
12,11,1
12,36,0
12,135,0
12,161,0
12,147,1
12,108,0
12,104,0
12,66,0
12,85,0
12,2,0
12,148,0
12,58,0
12,25,0
13,16,1
13,5,1
13,139,1
13,37,0
13,87,0
13,155,0
13,146,1
13,198,0
13,14,0
13,36,1
13,178,0
13,119,1
13,73,0
13,11,0
13,55,0
13,80,0
13,27,1
13,74,0
13,192,1
13,185,0
13,77,1
13,129,0
13,62,1
13,69,1
13,24,1
13,70,0
13,110,1
13,172,1
13,150,0
13,65,0
13,81,0
13,2,0
13,116,0
13,1,0
13,21,0
13,97,0
13,85,0
13,44,1
13,140,1
13,17,1
13,95,1
13,183,0
13,161,0
13,184,0
13,94,0
14,73,0
14,157,1
14,15,0
14,163,0
14,147,1
14,123,0
14,108,0
14,165,0
14,136,0
14,23,1
14,39,1
14,13,1
14,175,0
14,156,0
14,80,1
14,140,0
14,131,1
14,66,1
14,67,1
14,113,1
14,54,0
14,126,0
14,35,0
14,132,0
14,154,1
14,53,1
14,174,0
14,93,0
15,44,0
15,186,1
15,8,0
15,158,0
15,114,1
15,133,1
15,160,0
15,36,1
15,87,0
15,170,1
15,84,0
15,177,0
15,121,1
15,57,1
15,140,0
15,70,1
15,155,0
15,64,0
15,131,0
15,148,0
15,58,0
15,118,1
15,135,0
15,30,1
15,67,1
15,183,1
15,106,0
16,181,1
16,13,0
16,129,1
16,152,1
16,153,1
16,123,0
16,188,1
16,22,1
16,50,1
16,157,1
16,144,0
16,34,1
16,28,0
16,171,0
16,120,0
16,135,0
16,53,0
16,3,0
16,26,0
16,89,1
16,167,0
16,11,0
16,66,0
16,194,0
16,36,1
16,63,0
16,166,0
16,80,0
16,43,1
16,172,0
16,126,0
16,185,1
16,46,0
16,170,0
16,12,0
16,156,1
16,175,1
16,16,0
16,79,1
16,60,0
16,124,0
16,32,1
16,147,0
16,24,0
16,41,0
16,192,0
16,154,0
17,175,1
17,141,1
17,180,0
17,63,1
17,87,0
17,83,0
17,142,1
17,88,0
17,84,1
17,176,0
17,41,1
17,15,0
17,3,0
17,104,0
17,100,1
17,86,0
17,134,1
17,75,1
17,12,1
17,76,1
17,66,1
17,158,1
17,166,0
17,51,1
17,18,0
17,35,1
17,31,1
17,56,0
17,114,0
17,49,0
17,1,0
17,85,0
17,67,0
17,149,0
18,146,0
18,50,1
18,115,1
18,124,1
18,46,1
18,77,1
18,178,1
18,94,1
18,58,0
18,161,0
18,76,0
18,38,1
18,193,0
18,35,1
18,131,0
18,26,1
18,63,0
18,177,1
18,134,0
18,8,0
18,85,0
18,195,1
18,106,0
